filename,publisher,raw_count,total,ag_share
allafrica_2000.csv,accra mail (accra),8,9,0.889
allafrica_2000.csv,action by churches together (geneva),2,3,0.667
allafrica_2000.csv,addis tribune (addis ababa),7,8,0.875
allafrica_2000.csv,african church information service (nairobi),1,1,1.0
allafrica_2000.csv,african eye news service (nelspruit),1,3,0.333
allafrica_2000.csv,african rights (london),1,1,1.0
allafrica_2000.csv,all africa news agency,3,3,1.0
allafrica_2000.csv,business day (johannesburg),3,10,0.3
allafrica_2000.csv,concord times (freetown),6,6,1.0
allafrica_2000.csv,ethiopia: seven days update (addis ababa),2,2,1.0
allafrica_2000.csv,financial gazette (harare),3,7,0.429
allafrica_2000.csv,food and agricultural organization (rome),2,2,1.0
allafrica_2000.csv,food and agriculture organization rome,1,1,1.0
allafrica_2000.csv,future harvest,1,1,1.0
allafrica_2000.csv,ghanaian chronicle (accra),9,12,0.75
allafrica_2000.csv,internews (arusha),0,1,0.0
allafrica_2000.csv,mail & guardian (johannesburg),2,2,1.0
allafrica_2000.csv,mmegi/the reporter (gaborone),1,2,0.5
allafrica_2000.csv,new vision (kampala),7,9,0.778
allafrica_2000.csv,newswatch (lagos),3,3,1.0
allafrica_2000.csv,p.m. news (lagos),5,6,0.833
allafrica_2000.csv,panafrican news agency (dakar),33,38,0.868
allafrica_2000.csv,red cross,1,1,1.0
allafrica_2000.csv,"refugees international (washington, dc)",1,1,1.0
allafrica_2000.csv,reliefweb,1,1,1.0
allafrica_2000.csv,southern african research and documentation centre (harare),1,1,1.0
allafrica_2000.csv,tempo (lagos),3,6,0.5
allafrica_2000.csv,the daily monitor (addis ababa),2,3,0.667
allafrica_2000.csv,the dispatch (accra),1,2,0.5
allafrica_2000.csv,the east african (nairobi),4,4,1.0
allafrica_2000.csv,the independent (accra),1,1,1.0
allafrica_2000.csv,the insider (harare),1,1,1.0
allafrica_2000.csv,the monitor (kampala),5,7,0.714
allafrica_2000.csv,the namibian (windhoek),1,1,1.0
allafrica_2000.csv,the nation (nairobi),15,17,0.882
allafrica_2000.csv,the news (lagos),10,14,0.714
allafrica_2000.csv,"the north africa journal (boston, usa)",1,1,1.0
allafrica_2000.csv,"the perspective (smyrna, georgia)",2,2,1.0
allafrica_2000.csv,the post (lusaka),0,2,0.0
allafrica_2000.csv,the post express (lagos),23,31,0.742
allafrica_2000.csv,the reporter (addis ababa),1,1,1.0
allafrica_2000.csv,the times of zambia (ndola),0,1,0.0
allafrica_2000.csv,this day (lagos),14,15,0.933
allafrica_2000.csv,tomric news agency (dar es salaam),1,1,1.0
allafrica_2000.csv,un integrated regional information networks,29,30,0.967
allafrica_2000.csv,united nations world food programme (rome),9,9,1.0
allafrica_2000.csv,"united states agency for international development (washington, dc)",4,4,1.0
